turnover.arg2: pink9 playmode.arg1: kick_in badPass
kick.arg1: pink9
pass.arg1: purple8 pass.arg2: purple7
pass.arg1: purple10 pass.arg2: purple11
pass.arg1: purple9 pass.arg2: purple7
turnover.arg2: purple10
pass.arg1: pink6 pass.arg2: pink7
pass.arg1: purple8 pass.arg2: purple11
pass.arg1: purple6 pass.arg2: purple10
turnover.arg1: pink team playmode.arg1: offside
pass.arg1: pink2 pass.arg2: pink5
turnover.arg1: pink11 turnover.arg2: purple8 badPass
pass.arg1: purple7 pass.arg2: purple8
pass.arg1: pink6 pass.arg2: pink9
pass.arg1: purple5 pass.arg2: purple7
pass.arg1: pink8 pass.arg2: pink11
turnover.arg1: pink8 turnover.arg2: purple5 badPass
turnover.arg1: purple10 turnover.arg2: pink3 badPass
turnover.arg2: purple11 badPass
pass.arg1: purple7 pass.arg2: purple10
kick.arg1: pink9
pass.arg1: purple2 pass.arg2: purple10
pass.arg1: purple10 pass.arg2: purple11
kick.arg1: pink11
pass.arg1: pink7 pass.arg2: pink10
pass.arg1: purple10 pass.arg2: purple8
pass.arg1: purple1 pass.arg2: purple4
pass.arg1: pink9 pass.arg2: pink8
kick.arg1: purple11
pass.arg1: purple11 pass.arg2: purple10
pass.arg1: pink10 pass.arg2: pink7
turnover.arg1: purple10 turnover.arg2: pink4 badPass
kick.arg1: pink4
pass.arg1: purple2 pass.arg2: purple6
pass.arg1: pink10 pass.arg2: pink4
turnover.arg1: purple9 turnover.arg2: pink6 badPass
pass.arg1: purple7 pass.arg2: purple6
turnover.arg1: purple10 turnover.arg2: pink3 badPass
pass.arg1: pink10 pass.arg2: pink9
pass.arg1: pink7 pass.arg2: pink4
pass.arg1: pink6 pass.arg2: pink7
pass.arg1: purple11 pass.arg2: purple6
turnover.arg1: pink8 turnover.arg2: purple4 badPass
pass.arg1: purple7 pass.arg2: purple10
turnover.arg1: purple team playmode.arg1: goal
pass.arg1: pink10 pass.arg2: pink4
pass.arg1: pink11 pass.arg2: pink9
turnover.arg1: pink4 turnover.arg2: purple9 badPass
turnover.arg1: pink5 turnover.arg2: purple10 badPass
pass.arg1: pink11 pass.arg2: pink9
kick.arg1: purple6
pass.arg1: purple11 pass.arg2: purple10
pass.arg1: purple2 pass.arg2: purple3
